stable_id	subject	kind	producer	state	authority	reproducibility	currentness	durable_consumer	evidence	disposition	rationale
D-08	scheduled-control-sweep.json	generated-output	scripts/scheduled_control_evidence.sh sweep (content shape only; no root-path producer)	untracked	D-08	regenerable from the scheduled-control evidence workflow	stale	none	D-08; sha256:331810b4b1724452f0e2707c800230e52fabea01c3773d362b3a1240040ece7e; Phase 162 scheduled-control proof	remove	Stale rows dated 2026-08-25 predate current-main scheduled proof; retain the Phase 162 tracked evidence instead.
P-01	.planning/release-target.json	release-proof	scripts/release_policy.exs	tracked	protected release policy	regenerable from authorized evidence	current	protected release guidance	git ls-files; release-target ledger	retain	Durable protected-release authority.
P-02	.planning/publish/mailglass-publish-summary.json	publish-proof	scripts/verify_published_release.sh	tracked	published package verification	regenerable from immutable package facts	current	package release verification	git ls-files .planning/publish	retain	Durable core publication proof.
P-03	.planning/publish/mailglass_admin-publish-summary.json	publish-proof	scripts/verify_published_release.sh	tracked	published package verification	regenerable from immutable package facts	current	package release verification	git ls-files .planning/publish	retain	Durable admin publication proof.
P-04	.planning/publish/mailglass_inbound-publish-summary.json	publish-proof	scripts/verify_published_release.sh	tracked	published package verification	regenerable from immutable package facts	current	package release verification	git ls-files .planning/publish	retain	Durable inbound publication proof.
P-05	.planning/publish/mailglass-files.expected	package-allowlist	mix mailglass.publish.check	tracked	package content contract	regenerable from package source	current	publish contract tests	git ls-files .planning/publish	retain	Durable core package contract.
P-06	.planning/publish/mailglass_admin-files.expected	package-allowlist	mix mailglass.publish.check	tracked	package content contract	regenerable from package source	current	publish contract tests	git ls-files .planning/publish	retain	Durable admin package contract.
P-07	.planning/publish/mailglass_inbound-files.expected	package-allowlist	mix mailglass.publish.check	tracked	package content contract	regenerable from package source	current	publish contract tests	git ls-files .planning/publish	retain	Durable inbound package contract.
P-08	.planning/phases/161-canonical-workspace-and-evidence-preservation/161-WORKSPACE-INVENTORY.md	forensic-proof	Phase 161 workspace audit	tracked	Phase 161 evidence contract	captured from immutable Git facts	historical	workspace preservation verification	git ls-files; Phase 161 summary	retain	Durable canonical workspace forensic evidence.
P-09	.planning/phases/161-canonical-workspace-and-evidence-preservation/161-PRESERVATION-RECONCILIATION.tsv	forensic-proof	Phase 161 preservation audit	tracked	Phase 161 evidence contract	derived from Git graph and content	historical	workspace preservation verification	git ls-files; Phase 161 summary	retain	Durable one-to-one preservation evidence.
P-10	.planning/phases/162-protected-release-and-scheduled-control-recovery/162-RELEASE-RECONCILIATION.md	release-proof	Phase 162 protected release recovery	tracked	Phase 162 release authority	captured from protected GitHub and Git facts	historical	maintainer provenance	git ls-files; Phase 162 summary	retain	Durable release recovery provenance.
P-11	.planning/phases/162-protected-release-and-scheduled-control-recovery/162-UAT.md	scheduled-control-proof	Phase 162 scheduled control audit	tracked	Phase 162 scheduled-control contract	captured from exact event run and workflow identities	historical	closeout provenance	git ls-files; Phase 162 summary	retain	Durable scheduled-control evidence chain.
P-12	.planning/phases/162-protected-release-and-scheduled-control-recovery/162-VERIFICATION.md	release-proof	Phase 162 verification	tracked	Phase 162 requirement verification	derived from tracked evidence	historical	closeout provenance	git ls-files; Phase 162 summary	retain	Durable protected-release recovery proof.
