source_row	disposition	evidence_ref	preservation_requirement	mechanism	expected_oid	target	observed_oid	handoff_location	blocking_condition	permitted_next_action	status
REF-0001	archive	EVID-REF-GRAPH	required	ref	5c1c16c634575e2dfe72348c7a771a92fe719887	refs/heads/preserve/phase-161-archive-ref-operator-detail-local-20260822	5c1c16c634575e2dfe72348c7a771a92fe719887	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
REF-0002	archive	EVID-REF-GRAPH	required	ref	c34765887d56cae15c94382c4c77c1098f74f692	refs/heads/preserve/phase-161-archive-ref-phase-143-plan-local-20260822	c34765887d56cae15c94382c4c77c1098f74f692	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
REF-0003	archive	EVID-REF-GRAPH	required	ref	b3141cec7e6b9ee7810a01a2055ea74f21d13d61	refs/heads/preserve/phase-161-archive-ref-phase-148-local-20260822	b3141cec7e6b9ee7810a01a2055ea74f21d13d61	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
REF-0004	archive	EVID-REF-GRAPH	required	ref	cca6b0619120de0b0f53d4d335adb7ca304813d7	refs/heads/preserve/phase-161-archive-ref-phase-153-remote-20260822	cca6b0619120de0b0f53d4d335adb7ca304813d7	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
REF-0005	archive	EVID-REF-GRAPH	required	ref	8f14bb9e0105f42ee757e2b4a1a3c89e4374c689	refs/heads/preserve/phase-161-archive-ref-phase-92-remote-20260822	8f14bb9e0105f42ee757e2b4a1a3c89e4374c689	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
REF-0006	archive	EVID-REF-GRAPH	required	ref	2f86fa2b7ac1d47fa70f458beecf83b61e217632	refs/heads/preserve/phase-161-archive-ref-pre-cleanup-main-20260822	2f86fa2b7ac1d47fa70f458beecf83b61e217632	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
RANGE-0001	archive	EVID-RANGE-GRAPH	required	ref	5c1c16c634575e2dfe72348c7a771a92fe719887	refs/heads/preserve/phase-161-archive-range-operator-detail-local-20260822	5c1c16c634575e2dfe72348c7a771a92fe719887	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
RANGE-0002	archive	EVID-RANGE-GRAPH	required	ref	c34765887d56cae15c94382c4c77c1098f74f692	refs/heads/preserve/phase-161-archive-range-phase-143-plan-local-20260822	c34765887d56cae15c94382c4c77c1098f74f692	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
RANGE-0003	archive	EVID-RANGE-GRAPH	required	ref	b3141cec7e6b9ee7810a01a2055ea74f21d13d61	refs/heads/preserve/phase-161-archive-range-phase-148-local-20260822	b3141cec7e6b9ee7810a01a2055ea74f21d13d61	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
RANGE-0004	archive	EVID-RANGE-GRAPH	required	ref	cca6b0619120de0b0f53d4d335adb7ca304813d7	refs/heads/preserve/phase-161-archive-range-phase-153-remote-20260822	cca6b0619120de0b0f53d4d335adb7ca304813d7	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
RANGE-0005	archive	EVID-RANGE-GRAPH	required	ref	8f14bb9e0105f42ee757e2b4a1a3c89e4374c689	refs/heads/preserve/phase-161-archive-range-phase-92-remote-20260822	8f14bb9e0105f42ee757e2b4a1a3c89e4374c689	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
RANGE-0006	archive	EVID-RANGE-GRAPH	required	ref	2f86fa2b7ac1d47fa70f458beecf83b61e217632	refs/heads/preserve/phase-161-archive-range-pre-cleanup-main-20260822	2f86fa2b7ac1d47fa70f458beecf83b61e217632	-	-	retain archived evidence; Plan 04 must rerun this verifier before any cleanup	verified
